Bowler,Team,BowlType,Start Date,Ground,Host Country,year,isWorldCup,isICC,Matches,Inn,Runs,Balls,Wickets,Matches_grouped,Inn_grouped,Runs_grouped,Balls_grouped,Wickets_grouped,run_diff,ball_diff,wickets_diff,inn_diff,matches_diff,AveforWicket,RunRate,AveWicket,AveRR,Home,HomeorAway,Period
AA Donald,SA,Pace,12 Mar 1992,Melbourne,Australia,1992,WorldCup,ICC,1,1,43,54,0,15,10,323,405,6,280,351,6,9,14,46.666666666666664,4.786324786324786,>30,<6 rpo,AUS,Away,Upto 2014
AA Donald,SA,Pace,13 Jun 1999,Leeds,England,1999,WorldCup,ICC,1,1,43,60,0,14,9,446,502,9,403,442,9,8,13,44.77777777777778,5.470588235294118,>30,<6 rpo,ENG,Away,Upto 2014
AA Donald,SA,Pace,15 Mar 1992,Adelaide,Australia,1992,WorldCup,ICC,1,1,34,36,2,11,7,253,247,6,219,211,4,6,10,54.75,6.2274881516587675,>30,>=6 rpo,AUS,Away,Upto 2014
AA Donald,SA,Pace,15 May 1999,Hove,England,1999,WorldCup,ICC,1,1,34,60,1,14,10,398,470,8,364,410,7,9,13,52.0,5.326829268292683,>30,<6 rpo,ENG,Away,Upto 2014
AA Donald,SA,Pace,16 Feb 1996,Rawalpindi,Pakistan,1996,WorldCup,ICC,1,1,21,60,3,12,9,256,390,8,235,330,5,8,11,47.0,4.272727272727273,>30,<6 rpo,PAK,Away,Upto 2014
AA Donald,SA,Pace,16 Feb 2003,Johannesburg,South Africa,2003,WorldCup,ICC,1,1,52,35,1,14,10,447,449,6,395,414,5,9,13,79.0,5.72463768115942,>30,<6 rpo,SA,Home,Upto 2014
AA Donald,SA,Pace,17 Jun 1999,Birmingham,England,1999,WorldCup,ICC,1,1,32,60,4,14,10,352,486,13,320,426,9,9,13,35.55555555555556,4.507042253521126,>30,<6 rpo,ENG,Away,Upto 2014
AA Donald,SA,Pace,19 May 1999,Northampton,England,1999,WorldCup,ICC,1,1,25,36,1,12,8,242,392,15,217,356,14,7,11,15.5,3.657303370786517,<=30,<6 rpo,ENG,Away,Upto 2014
AA Donald,SA,Pace,2 Mar 1992,Wellington,New Zealand,1992,WorldCup,ICC,1,1,42,59,3,11,7,216,359,8,174,300,5,6,10,34.8,3.4799999999999995,>30,<6 rpo,NZ,Away,Upto 2014
AA Donald,SA,Pace,20 Feb 1996,Faisalabad,Pakistan,1996,WorldCup,ICC,1,1,34,60,3,13,10,292,414,11,258,354,8,9,12,32.25,4.372881355932203,>30,<6 rpo,PAK,Away,Upto 2014
AA Donald,SA,Pace,22 Mar 1992,Sydney,Australia,1992,WorldCup,ICC,1,1,69,60,2,16,9,387,438,10,318,378,8,8,15,39.75,5.0476190476190474,>30,<6 rpo,AUS,Away,Upto 2014
AA Donald,SA,Pace,22 May 1999,The Oval,England,1999,WorldCup,ICC,1,1,17,48,4,16,10,304,534,17,287,486,13,9,15,22.076923076923077,3.54320987654321,<=30,<6 rpo,ENG,Away,Upto 2014
AA Donald,SA,Pace,26 Feb 1992,Sydney,Australia,1992,WorldCup,ICC,1,1,34,60,3,12,10,274,461,5,240,401,2,9,11,120.0,3.5910224438902745,>30,<6 rpo,AUS,Away,Upto 2014
AA Donald,SA,Pace,26 May 1999,Amstelveen,Netherlands,1999,WorldCup,ICC,1,1,42,48,2,12,9,217,405,12,175,357,10,8,11,17.5,2.941176470588235,<=30,<6 rpo,Netherlands,Away,Upto 2014
AA Donald,SA,Pace,27 Feb 2003,East London,South Africa,2003,WorldCup,ICC,1,1,27,60,0,12,10,283,474,12,256,414,12,9,11,21.333333333333332,3.7101449275362315,<=30,<6 rpo,SA,Home,Upto 2014
AA Donald,SA,Pace,29 Feb 1992,Auckland,New Zealand,1992,WorldCup,ICC,1,1,38,60,1,15,10,304,399,7,266,339,6,9,14,44.333333333333336,4.707964601769911,>30,<6 rpo,NZ,Away,Upto 2014
